Object ID,Unique_ID,Sample_ID,Other_ID,Modern_or_Arch,Specimen_Type,Tissue_Type,Bone/Tooth_Type,Collagen/Apatite/Enamel,Genus/Order,Species,Group,CommonName,Description_of_Sample,Site_Name_or_Area,San Juan Basin?,Site_Number,Provenience,UTM,Easting,Northing,Longitude,Latitude,Elevation,Depth,Radiocarbon_Lab_No,Date_Period,Date_Beginning,Date_Med or actual,Date_End,Date_Range,Date of Collection,Source/Citation,Notes ,Sample weight (mg),Sr87/Sr86 Calibrated to NBS Standard (0.71029),Sr87/Sr86 (non-enamel),87Sr/86SR (non-enamel) SD (2 sigma),87Sr/86Sr (non-enamal) Standardized Value,87Sr/86Sr (Enamel),87Sr/86Sr (Enamel) 2-sigma s.e.,87Sr/86Sr (enamal) Standardized Value,% instrument error,Sr 1sigma,δ13 C Collagen,δ13 C bone apatite,δ13 C enamel,"δ13 C enamel, SD",δ13 C vegetation,δ13 C hair,"Suess Correction, δ13 C bioapatite ","Vegetation Baseline Correction, δ13 C bioapatite",Wt%C,Wt%N,δ18 O apatite vpdb (%o),δ18 O apatite vpdb (%o) SD,Corrected d18O(%o) apatite VDPB,δ18 O enamel vpdb (%o),Corrected d18O(%o) enamel VDPB,δ18 O vsmow (%o); aka δ18 O water,δ18 O vsmow (%o) SD,δ15 N Collagen,C:N,Atomic C:N,N(%),% Collagen Yield,Wt% Coll,δD vsmow (%o); aka δD water,d2H SD,Dentin Pb 206/204,% SE (Dentin Pb 206/204),Dentin Pb 207/204,% SE (Dentin Pb 207/204),Dentin Pb 208/204,% SE (Dentin Pb 208/204),Dentin Pb 207/206,% SE (Dentin Pb 207/206),Dentin Pb 208/206,% SE (Dentin Pb 208/206),Dentin Pb (ng),"Dentin Pb spl wt, g",Dentin Pb (ppm),Enamel Pb 206/204,% SE (Enamel Pb 206/204),Enamel Pb 207/204,% SE (Enamel Pb 207/204),Enamel Pb 208/204,% SE (Enamel Pb 208/204),Enamel Pb 207/206,% SE (Enamel Pb 207/206),Enamel Pb 208/206,% SE (Enamel Pb 208/206),Enamel Pb (ng),"Enamel Pb spl wt, g",Enamel Pb (ppm),208/204,207/204,206/204
5452,,WWS-0929,0929,archaeological,Vegetal,Cob,,,,,,,cob,"Chaco Canyon (New Mexico, US)",y,,"FS 7004, surface",,,,,,,,,,,,,,,,,,,0.712942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5453,,WWS-0930,0930,archaeological,Vegetal,Cob,,,,,,,cob,"Chaco Canyon (New Mexico, US)",y,,"FS 7003, surface, UNM Survey 13S",,,,,,,,,,,,,,,,,,,0.711159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5454,,WWS-0931,0931,archaeological,Vegetal,Cob,,,,,,,cob,"Chaco Canyon (New Mexico, US)",y,,"FS 7006, surface",,,,,,,,,,,,,,,,,,,0.711231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5455,,WWS-0932,0932,archaeological,Vegetal,Cob,,,,,,,cob,"Chaco Canyon (New Mexico, US)",y,,"FS 7994, 29SJ571",,,,,,,,,,,,,,,,,,,0.709434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5456,,WWS-0933,0933,archaeological,Vegetal,Cob,,,,,,,cob,"Chaco Canyon (New Mexico, US)",y,,"FS 7995, 29SJ571",,,,,,,,,,,,,,,,,,,sample too small to run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5457,,WWS-0934,0934,archaeological,Vegetal,Cob,,,,,,,cob,"Chaco Canyon (New Mexico, US)",y,,"FS 7996, 29SJ571",,,,,,,,,,,,,,,,,,,0.710640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5458,,WWS-0935,0935,archaeological,Vegetal,Cob,,,,,,,cob,"Chaco Canyon (New Mexico, US)",y,,"FS 7997, 29SJ571",,,,,,,,,,,,,,,,,,,0.710240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5459,,WWS-0936,0936,archaeological,Vegetal,Cob,,,,,,,cob,"Chaco Canyon (New Mexico, US)",y,,"FS 7998, 29SJ571",,,,,,,,,,,,,,,,,,,0.710366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5460,,WWS-0937,0937,archaeological,Vegetal,Cob,,,,,,,cob,"Chaco Canyon (New Mexico, US)",y,,"FS 7999, 29SJ571",,,,,,,,,,,,,,,,,,,0.710838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5461,,WWS-0938,0938,archaeological,Vegetal,Cob,,,,,,,cob,"Chaco Canyon (New Mexico, US)",y,,"FS 8000, 29SJ571",,,,,,,,,,,,,,,,,,,0.711697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5462,,WWS-0939,0939,archaeological,Vegetal,Cob,,,,,,,cob,"Chaco Canyon (New Mexico, US)",y,,"FS 8001, 29SJ571",,,,,,,,,,,,,,,,,,,0.710973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
