Object ID,Type of Sample,Sample ID,Lab/Museum/FS # if diff than Sample ID,Modern/Arch,Site Name/Area,Site Number,Provenience,Description of Sample,Date,UTM,Easting,Northing,Longitude,Latitude,Elevation,Elevation of Home Range,Depth,Mid Depth,Date of Collection,Source/Citation,Notes ,Links to Other Projects/Repositories,Weight ,Ag (ug/g),Ba (ug/g),Ca (ug/g),Ce (ug/g),Cr (ug/g),Cs (ug/g),Cu (ug/g),La (ug/g),Li (ug/g),Mn (ug/g),Mo (ug/g),Nd (ug/g),Rb (ug/g),Sr (ug/g),Ti (ug/g),U (ug/g),V (ug/g),Y (ug/g),Zn (ug/g)
,Vegetal,345/21/p+d/CH,,Modern,Chaco-PB,,,Hopi Blue Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1013,0.05,4.3,850,1.045,1.083,0.063,5.749,0.06,0.071,23.024,0.236,0.037,5.732,8.642,0.995,0.01,0.444,0.478,69.762
,Vegetal,351/26/p+d/CH,,Modern,Chaco-PB,,,Hopi Blue Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1001,0.051,8.339,1870,1.486,0.964,0.029,11.752,0.063,0.149,30.188,0.806,0.061,7.31,18.808,2.259,0.017,0.407,0.856,222.204
,Vegetal,350/34/pr/CH,,Modern,Chaco-PB,,,Hopi Blue Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1004,0.023,5.467,1260,0.633,0.905,0.06,6.393,0.077,0.143,26.598,0.294,0.09,4.88,12.914,1.992,0.006,0.441,0.339,74.337
,Vegetal,334/27/pr/CH,,Modern,Chaco,,,Hopi Blue Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.0999,0.124,7.717,290,3.068,1.124,0.154,3.595,0.078,0.269,6.862,0.124,0.046,2.439,2.162,1.166,0.028,0.278,1.878,14.511
,Vegetal,344/37/pr/CH,,Modern,Chaco,,,Hopi Blue Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.998 (typo? Meant to be 0.0998?),0.054,3.096,550,1.131,1.022,0.341,4.58,0.065,0.145,14.468,0.243,0.081,6.031,7.661,2.819,0.014,0.585,0.507,52.612
,Vegetal,115/1/p+d/CR,,Modern,Crow Canyon,,,Hopi Blue Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.0999,0.012,4.71,385,2.468,0.245,0.086,1.692,0.029,0.082,3.186,0.168,0.03,11.712,5.165,0.377,0.022,0.062,1.442,7.866
,Vegetal,359/3/pr/CR,,Modern,Crow Canyon,,,Hopi Blue Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.0996,0.042,3.907,372,1.207,0.246,0.046,1.425,0.037,0.066,2.183,0.147,0.013,4.849,3.861,0.397,0.012,0.063,0.597,9.787
,Vegetal,130/7/p+d/CR,,Modern,Crow Canyon,,,Hopi Blue Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1003,0.05,4.382,346,0.949,0.372,0.093,1.907,0.016,0.108,2.277,0.157,0.013,11.63,4.124,0.277,0.009,0.065,0.504,5.394
,Vegetal,134/8/p+d/CR,,Modern,Crow Canyon,,,Hopi Blue Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1,0.025,4.299,528,0.489,0.245,0.039,2.755,0.054,0.03,3.326,0.091,0.009,8.306,6.717,0.183,0.004,0.062,0.263,10.55
,Vegetal,363/9/p+d/CR,,Modern,Crow Canyon,,,Hopi Blue Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1008,0.018,4.241,317,2.109,1.896,0.082,2.022,0.057,0.11,2.387,0.254,0.026,7.373,3.385,0.378,0.021,0.062,0.923,9.021
